Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.368, 0.960, 0.439, 1.001, 0.599, 0.230, , , , , 0.247, 0.230, 0.021, 1.863, 5.958
0.245, 0.623, 0.542, 0.838, 0.330, 0.221, , , , , 0.191, 0.135, 0.023, 2.345, 5.493
0.215, 0.589, 0.575, 0.780, 0.329, 0.232, , , , , 0.224, 0.091, 0.020, 0.593, 3.648
0.261, 0.734, 0.500, 0.692, 0.226, 0.149, , , , , 0.143, 0.117, 0.018, 1.341, 4.181
0.340, 0.550, 0.366, 0.544, 0.267, 0.167, , , , , 0.160, 0.130, 0.019, 0.434, 2.977
0.218, 0.604, 0.329, 0.531, 0.253, 0.184, , , , , 0.168, 0.138, 0.018, 3.057, 5.500
0.353, 0.937, 0.444, 0.942, 0.653, 0.227, , , , , 0.252, 0.228, 0.021, 1.907, 5.964
0.252, 0.599, 0.549, 0.864, 0.339, 0.221, , , , , 0.190, 0.136, 0.022, 2.126, 5.298
0.196, 0.454, 0.326, 0.495, 0.184, 0.118, , , , , 0.120, 0.090, 0.018, 0.745, 2.746
0.243, 0.541, 0.341, 0.549, 0.233, 0.149, , , , , 0.144, 0.116, 0.018, 1.315, 3.649
0.216, 0.463, 0.351, 0.530, 0.264, 0.165, , , , , 0.163, 0.131, 0.020, 0.167, 2.470
0.235, 0.517, 0.323, 0.526, 0.255, 0.186, , , , , 0.170, 0.136, 0.018, 3.083, 5.449
0.404, 1.278, 0.417, 0.916, 0.614, 0.230, , , , , 0.259, 0.226, 0.027, 1.591, 5.962
0.265, 0.673, 0.551, 0.847, 0.334, 0.224, , , , , 0.192, 0.138, 0.021, 2.468, 5.713
0.207, 0.553, 0.336, 0.495, 0.231, 0.118, , , , , 0.117, 0.089, 0.018, 0.634, 2.798
0.266, 0.738, 0.506, 0.725, 0.227, 0.149, , , , , 0.147, 0.114, 0.017, 1.369, 4.258
0.252, 0.708, 0.352, 0.531, 0.267, 0.168, , , , , 0.164, 0.132, 0.020, 0.207, 2.801
0.247, 0.620, 0.331, 0.529, 0.250, 0.188, , , , , 0.168, 0.138, 0.018, 2.964, 5.453
1.050, 0.958, 0.430, 0.958, 0.610, 0.229, , , , , 0.254, 0.231, 0.021, 1.537, 6.278
0.221, 0.494, 0.358, 0.570, 0.203, 0.119, , , , , 0.108, 0.091, 0.021, 2.407, 4.592
0.205, 0.544, 0.318, 0.497, 0.187, 0.122, , , , , 0.117, 0.088, 0.019, 0.437, 2.534
0.274, 0.678, 0.347, 0.519, 0.225, 0.154, , , , , 0.144, 0.115, 0.018, 1.559, 4.033
0.251, 0.664, 0.556, 0.840, 0.464, 0.333, , , , , 0.243, 0.133, 0.021, 0.154, 3.659
0.223, 0.567, 0.522, 0.857, 0.505, 0.205, , , , , 0.171, 0.138, 0.018, 3.041, 6.247
0.353, 0.926, 0.449, 0.929, 0.604, 0.228, , , , , 0.309, 0.225, 0.020, 1.832, 5.875
0.290, 0.628, 0.542, 0.799, 0.329, 0.222, , , , , 0.191, 0.193, 0.023, 2.681, 5.898
0.201, 0.536, 0.504, 0.777, 0.329, 0.230, , , , , 0.215, 0.142, 0.018, 0.520, 3.472
0.254, 0.777, 0.519, 0.861, 0.412, 0.298, , , , , 0.273, 0.194, 0.018, 1.488, 5.094
0.219, 0.572, 0.362, 0.595, 0.264, 0.168, , , , , 0.163, 0.132, 0.019, 0.434, 2.928
0.217, 0.447, 0.359, 0.573, 0.258, 0.197, , , , , 0.175, 0.139, 0.018, 3.309, 5.692
0.315, 0.907, 0.424, 0.907, 0.606, 0.226, , , , , 0.253, 0.243, 0.021, 1.946, 5.848
0.269, 0.674, 0.563, 0.792, 0.335, 0.219, , , , , 0.192, 0.209, 0.021, 2.371, 5.645
0.202, 0.543, 0.323, 0.495, 0.184, 0.116, , , , , 0.120, 0.091, 0.018, 0.573, 2.665
0.252, 0.634, 0.310, 0.506, 0.225, 0.150, , , , , 0.142, 0.114, 0.018, 1.338, 3.689
0.235, 0.520, 0.359, 0.546, 0.267, 0.168, , , , , 0.163, 0.133, 0.019, 0.157, 2.567
0.220, 0.409, 0.330, 0.531, 0.251, 0.185, , , , , 0.167, 0.140, 0.018, 3.207, 5.458
0.390, 1.573, 0.474, 0.903, 0.608, 0.232, , , , , 0.254, 0.229, 0.021, 1.533, 6.217
0.266, 0.632, 0.593, 0.806, 0.328, 0.219, , , , , 0.191, 0.136, 0.020, 2.115, 5.306
0.215, 0.530, 0.505, 0.781, 0.326, 0.121, , , , , 0.120, 0.091, 0.019, 0.675, 3.383
0.235, 0.584, 0.320, 0.520, 0.230, 0.151, , , , , 0.176, 0.119, 0.019, 1.318, 3.672
0.247, 0.668, 0.354, 0.586, 0.266, 0.170, , , , , 0.164, 0.125, 0.020, 0.202, 2.802
0.230, 0.570, 0.523, 0.852, 0.254, 0.186, , , , , 0.173, 0.139, 0.017, 3.009, 5.953
0.401, 0.941, 0.408, 0.897, 0.607, 0.286, , , , , 0.253, 0.230, 0.021, 1.516, 5.560
0.248, 0.635, 0.552, 0.819, 0.329, 0.219, , , , , 0.190, 0.152, 0.020, 2.425, 5.589
0.185, 0.496, 0.338, 0.498, 0.185, 0.119, , , , , 0.118, 0.091, 0.019, 0.581, 2.630
0.248, 0.747, 0.316, 0.507, 0.227, 0.152, , , , , 0.145, 0.116, 0.018, 1.313, 3.789
0.247, 0.582, 0.347, 0.529, 0.265, 0.167, , , , , 0.160, 0.130, 0.019, 0.185, 2.631
0.299, 0.454, 0.341, 0.537, 0.259, 0.188, , , , , 0.168, 0.140, 0.017, 3.222, 5.625
0.382, 1.297, 0.579, 0.912, 0.620, 0.237, , , , , 0.257, 0.229, 0.022, 1.564, 6.099
0.257, 0.625, 0.608, 0.815, 0.328, 0.222, , , , , 0.190, 0.137, 0.021, 2.548, 5.751
0.182, 0.486, 0.340, 0.509, 0.188, 0.119, , , , , 0.117, 0.089, 0.017, 1.062, 3.109
0.210, 0.497, 0.317, 0.515, 0.232, 0.155, , , , , 0.145, 0.115, 0.017, 1.257, 3.460
0.229, 0.489, 0.370, 0.545, 0.267, 0.167, , , , , 0.220, 0.130, 0.019, 0.206, 2.642
0.188, 0.423, 0.348, 0.534, 0.249, 0.184, , , , , 0.167, 0.137, 0.016, 3.074, 5.320
0.339, 1.042, 0.423, 0.897, 0.609, 0.235, , , , , 0.255, 0.230, 0.021, 1.799, 5.850
0.251, 0.679, 0.542, 0.794, 0.326, 0.222, , , , , 0.190, 0.138, 0.022, 2.486, 5.650
0.179, 0.503, 0.357, 0.533, 0.190, 0.176, , , , , 0.120, 0.092, 0.019, 0.789, 2.958
0.247, 0.544, 0.329, 0.522, 0.229, 0.152, , , , , 0.206, 0.115, 0.019, 1.606, 3.969
0.264, 0.640, 0.469, 0.528, 0.265, 0.167, , , , , 0.163, 0.131, 0.020, 0.214, 2.861
0.236, 0.524, 0.332, 0.585, 0.256, 0.190, , , , , 0.170, 0.137, 0.017, 3.008, 5.455
0.412, 0.951, 0.417, 0.901, 0.659, 0.231, , , , , 0.256, 0.227, 0.022, 1.540, 5.616
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/11b.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.337, 0.879, 0.595, 0.941, 0.444, 0.279, , , , , 0.261, 0.184, 0.020, 1.546, 5.486
0.257, 0.574, 0.357, 0.520, 0.257, 0.164, , , , , 0.157, 0.125, 0.021, 0.171, 2.603
0.246, 0.547, 0.316, 0.532, 0.254, 0.191, , , , , 0.180, 0.140, 0.017, 2.957, 5.380
0.401, 0.893, 0.419, 0.851, 0.401, 0.220, , , , , 0.221, 0.195, 0.021, 1.529, 5.151
0.332, 0.680, 0.381, 0.838, 0.522, 0.223, , , , , 0.244, 0.220, 0.020, 2.242, 5.702
0.429, 0.681, 0.394, 0.580, 0.249, 0.143, , , , , 0.138, 0.115, 0.022, 1.393, 4.144
0.261, 0.565, 0.352, 0.547, 0.261, 0.167, , , , , 0.161, 0.126, 0.019, 0.116, 2.575
