Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query018/query018_0.sql...
0.072, 0.000, 0.000, 0.000, 0.000, 0.000, 0.002, 0.203, 0.012, 0.015, 0.203, 0.018, 3.896, 0.246, 0.012
0.040, 0.000, 0.000, 0.000, 0.000, 0.000, 0.003, 0.301, 0.013, 0.015, 0.213, 0.017, 3.896, 0.276, 0.009
0.039, 0.000, 0.000, 0.000, 0.000, 0.000, 0.003, 0.165, 0.012, 0.014, 0.198, 0.016, 3.874, 0.226, 0.009
Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query032/query032_0.sql...
47.037, 0.000, 0.000, 0.000, 0.000, 0.026, 0.214, 1.771, 18.938, 0.018
0.027, 0.000, 0.000, 0.000, 0.000, 0.031, 0.087, 1.187, 2.251, 0.023
0.030, 0.000, 0.000, 0.000, 0.000, 0.016, 0.089, 1.201, 2.007, 0.009
0.032, 0.000, 0.000, 0.000, 0.000, 0.029, 0.087, 1.211, 2.065, 0.008
0.029, 0.000, 0.000, 0.000, 0.000, 0.014, 0.086, 1.189, 2.351, 0.009
0.032, 0.000, 0.000, 0.000, 0.000, 0.016, 0.087, 1.209, 2.342, 0.012
0.041, 0.000, 0.000, 0.000, 0.000, 0.015, 0.087, 1.253, 2.070, 0.008
0.032, 0.000, 0.000, 0.000, 0.000, 0.015, 0.086, 1.206, 2.686, 0.009
0.029, 0.000, 0.000, 0.000, 0.000, 0.037, 0.086, 1.170, 2.151, 0.007
0.030, 0.000, 0.000, 0.000, 0.000, 0.015, 0.087, 1.205, 2.401, 0.008
0.032, 0.000, 0.000, 0.000, 0.000, 0.015, 0.084, 1.198, 1.774, 0.008
0.031, 0.000, 0.000, 0.000, 0.000, 0.019, 0.086, 1.186, 2.174, 0.008
0.037, 0.000, 0.000, 0.000, 0.000, 0.018, 0.117, 1.205, 3.324, 0.008
0.031, 0.000, 0.000, 0.000, 0.000, 0.016, 0.087, 1.217, 1.740, 0.008
0.031, 0.000, 0.000, 0.000, 0.000, 0.016, 0.087, 1.247, 1.991, 0.008
Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query040/query040_0.sql...
0.007, 0.000, 0.000, 0.000, 0.000, 0.040, 4.181, 0.045, 0.018, 0.024, 0.407, 0.042, 3.085, 8.178, 0.015
0.001, 0.000, 0.000, 0.000, 0.000, 0.017, 1.977, 0.022, 0.008, 0.011, 0.191, 0.021, 1.560, 4.236, 0.008
0.002, 0.000, 0.000, 0.000, 0.000, 0.018, 2.071, 0.026, 0.009, 0.012, 0.204, 0.021, 1.543, 4.117, 0.008
0.002, 0.000, 0.000, 0.000, 0.000, 0.017, 2.059, 0.025, 0.009, 0.013, 0.201, 0.022, 1.546, 4.521, 0.008
0.002, 0.000, 0.000, 0.000, 0.000, 0.017, 2.033, 0.024, 0.008, 0.012, 0.202, 0.022, 1.607, 4.072, 0.007
0.002, 0.000, 0.000, 0.000, 0.000, 0.018, 2.037, 0.026, 0.009, 0.012, 0.204, 0.021, 1.609, 4.121, 0.008
0.002, 0.000, 0.000, 0.000, 0.000, 0.018, 2.082, 0.024, 0.009, 0.012, 0.202, 0.022, 1.545, 4.011, 0.008
0.002, 0.000, 0.000, 0.000, 0.000, 0.019, 2.034, 0.024, 0.008, 0.011, 0.200, 0.022, 1.539, 4.104, 0.007
0.001, 0.000, 0.000, 0.000, 0.000, 0.017, 2.002, 0.024, 0.008, 0.013, 0.197, 0.022, 1.580, 3.988, 0.007
0.002, 0.000, 0.000, 0.000, 0.000, 0.018, 2.025, 0.025, 0.009, 0.012, 0.201, 0.022, 1.612, 4.009, 0.007
0.002, 0.000, 0.000, 0.000, 0.000, 0.017, 2.054, 0.024, 0.009, 0.012, 0.199, 0.022, 1.536, 4.950, 0.008
0.002, 0.000, 0.000, 0.000, 0.000, 0.017, 2.015, 0.023, 0.009, 0.011, 0.200, 0.022, 1.583, 4.979, 0.008
0.002, 0.000, 0.000, 0.000, 0.000, 0.018, 2.058, 0.024, 0.009, 0.012, 0.204, 0.022, 1.606, 4.010, 0.008
0.002, 0.000, 0.000, 0.000, 0.000, 0.018, 2.024, 0.024, 0.009, 0.013, 0.246, 0.022, 1.549, 4.970, 0.008
0.002, 0.000, 0.000, 0.000, 0.000, 0.017, 2.067, 0.024, 0.009, 0.012, 0.200, 0.022, 1.545, 4.841, 0.007
Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query040_spj/query040_spj_0.sql...
0.066, 0.000, 0.000, 0.000, 0.000, 0.033, 3.697, 0.044, 0.017, 0.023, 0.364, 0.026, 1.322, 6.600, 0.013
0.035, 0.000, 0.000, 0.000, 0.000, 0.020, 1.919, 0.023, 0.008, 0.012, 0.183, 0.014, 0.708, 3.959, 0.009
0.033, 0.000, 0.000, 0.000, 0.000, 0.017, 1.922, 0.025, 0.009, 0.011, 0.183, 0.014, 0.661, 3.969, 0.009
0.032, 0.000, 0.000, 0.000, 0.000, 0.018, 1.894, 0.023, 0.009, 0.011, 0.184, 0.014, 0.665, 3.920, 0.009
0.032, 0.000, 0.000, 0.000, 0.000, 0.018, 1.852, 0.023, 0.009, 0.011, 0.179, 0.014, 0.708, 4.898, 0.008
0.034, 0.000, 0.000, 0.000, 0.000, 0.018, 1.879, 0.024, 0.009, 0.012, 0.184, 0.014, 0.727, 4.139, 0.009
0.039, 0.000, 0.000, 0.000, 0.000, 0.017, 1.904, 0.023, 0.009, 0.012, 0.183, 0.014, 0.666, 5.047, 0.014
0.034, 0.000, 0.000, 0.000, 0.000, 0.018, 1.873, 0.023, 0.009, 0.011, 0.181, 0.014, 0.662, 3.891, 0.009
0.032, 0.000, 0.000, 0.000, 0.000, 0.018, 1.856, 0.023, 0.008, 0.012, 0.178, 0.013, 0.705, 4.458, 0.009
0.032, 0.000, 0.000, 0.000, 0.000, 0.017, 1.870, 0.023, 0.009, 0.012, 0.180, 0.014, 0.720, 3.956, 0.009
0.034, 0.000, 0.000, 0.000, 0.000, 0.018, 1.867, 0.023, 0.009, 0.011, 0.181, 0.014, 0.657, 3.979, 0.010
0.033, 0.000, 0.000, 0.000, 0.000, 0.018, 1.871, 0.024, 0.008, 0.011, 0.180, 0.014, 0.715, 4.858, 0.009
0.033, 0.000, 0.000, 0.000, 0.000, 0.018, 1.885, 0.024, 0.009, 0.011, 0.185, 0.014, 0.722, 3.965, 0.009
0.032, 0.000, 0.000, 0.000, 0.000, 0.018, 1.936, 0.025, 0.009, 0.012, 0.185, 0.014, 0.665, 3.932, 0.009
0.033, 0.000, 0.000, 0.000, 0.000, 0.017, 1.912, 0.023, 0.009, 0.011, 0.184, 0.014, 0.661, 4.087, 0.009
Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query084/query084_0.sql...
0.040, 0.000, 0.000, 0.000, 0.000, 0.000, 0.012, 0.376, 0.019, 0.013, 0.315, 0.031, 55.748, 3.455, 0.033, 0.023, 0.246, 0.022, 2.107, 1.820, 0.022, 0.050, 0.010, 0.792, 4386.198, 0.275
0.028, 0.000, 0.000, 0.000, 0.000, 0.000, 0.002, 0.162, 0.011, 0.008, 0.208, 0.020, 1.828, 3.250, 0.021, 0.015, 0.200, 0.021, 2.047, 1.726, 0.016, 0.036, 0.008, 0.744, 68.243, 0.143
0.029, 0.000, 0.000, 0.000, 0.000, 0.000, 0.002, 0.220, 0.011, 0.009, 0.211, 0.021, 1.871, 3.299, 0.019, 0.017, 0.196, 0.022, 2.050, 1.636, 0.014, 0.037, 0.008, 0.817, 68.462, 0.145
0.030, 0.000, 0.000, 0.000, 0.000, 0.000, 0.002, 0.153, 0.012, 0.008, 0.260, 0.021, 1.824, 3.214, 0.022, 0.017, 0.201, 0.022, 2.036, 1.553, 0.014, 0.036, 0.008, 0.756, 68.511, 0.147
0.031, 0.000, 0.000, 0.000, 0.000, 0.000, 0.002, 0.196, 0.011, 0.009, 0.210, 0.020, 1.852, 3.200, 0.024, 0.017, 0.198, 0.023, 2.086, 1.748, 0.018, 0.039, 0.008, 0.767, 68.414, 0.143
