Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.311, 0.730, 0.567, 0.715, 0.402, 0.161, , , , , 0.170, 0.150, 0.018, 1.630, 4.854
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.141, , 0.682, 0.612, 0.270, 0.155, , , , , 0.155, 0.122, 0.020, 17.931, 20.088
0.122, , 0.563, 0.655, 0.345, 0.184, , , , , 0.187, 0.141, 0.022, 21.612, 23.831
0.185, , 0.580, 0.628, 0.342, 0.174, , , , , 0.179, 0.148, 0.020, 115.201, 117.457
0.127, , 0.439, 1.173, 0.334, 0.175, , , , , 0.168, 0.132, 0.021, 1.225, 3.794
0.104, , 0.498, 0.544, 0.287, 0.167, , , , , 0.175, 0.129, 0.016, 0.567, 2.487
0.273, 0.526, 0.340, 0.654, 0.393, 0.162, , , , , 0.167, 0.145, 0.018, 1.519, 4.197
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.206, , 0.664, 0.849, 0.263, 0.152, , , , , 0.151, 0.123, 0.020, 17.940, 20.368
0.169, , 0.483, 0.619, 0.323, 0.173, , , , , 0.174, 0.134, 0.020, 22.201, 24.296
0.101, , 0.592, 0.686, 0.364, 0.185, , , , , 0.192, 0.159, 0.022, 115.175, 117.476
0.146, , 0.545, 0.619, 0.319, 0.162, , , , , 0.165, 0.134, 0.019, 0.614, 2.723
0.093, , 0.493, 0.502, 0.276, 0.159, , , , , 0.173, 0.124, 0.016, 0.603, 2.439
0.219, 0.536, 0.366, 0.697, 0.388, 0.158, , , , , 0.164, 0.150, 0.017, 1.698, 4.393
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.139, , 0.506, 0.618, 0.268, 0.150, , , , , 0.148, 0.121, 0.019, 18.157, 20.126
0.105, , 0.489, 0.730, 0.328, 0.174, , , , , 0.182, 0.137, 0.021, 21.765, 23.931
0.173, , 0.596, 0.632, 0.342, 0.176, , , , , 0.182, 0.151, 0.022, 115.099, 117.373
0.130, , 0.408, 1.227, 0.312, 0.164, , , , , 0.163, 0.130, 0.019, 0.996, 3.549
0.120, , 0.699, 0.654, 0.286, 0.167, , , , , 0.173, 0.131, 0.016, 0.853, 3.099
0.206, 0.440, 0.343, 0.699, 0.395, 0.166, , , , , 0.164, 0.146, 0.018, 1.841, 4.418
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10b.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.181, , 0.786, 0.916, 0.450, 0.291, , , , , 0.272, 0.211, 0.019, 20.611, 23.737
0.196, , 0.639, 0.631, 0.311, 0.165, , , , , 0.171, 0.131, 0.020, 6.331, 8.595
0.185, , 0.442, 0.811, 0.307, 0.173, , , , , 0.171, 0.137, 0.022, 197.399, 199.647
0.175, , 0.565, 0.549, 0.273, 0.148, , , , , 0.150, 0.116, 0.021, 55.509, 57.506
0.412, 0.600, 0.390, 0.796, 0.521, 0.191, , , , , 0.211, 0.181, 0.023, 0.234, 3.559
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.135, , 0.966, 0.658, 0.265, 0.149, , , , , 0.150, 0.120, 0.021, 18.384, 20.848
0.120, , 0.478, 0.667, 0.340, 0.187, , , , , 0.186, 0.141, 0.021, 6.673, 8.813
0.181, , 0.643, 0.619, 0.316, 0.167, , , , , 0.173, 0.143, 0.021, 204.983, 207.246
0.156, , 0.783, 0.696, 0.286, 0.152, , , , , 0.154, 0.121, 0.020, 54.416, 56.784
0.333, 0.747, 0.412, 0.864, 0.449, 0.265, , , , , 0.222, 0.191, 0.022, 0.361, 3.866
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.186, , 0.621, 0.628, 0.277, 0.155, , , , , 0.153, 0.121, 0.021, 18.542, 20.704
0.242, , 0.658, 0.915, 0.334, 0.179, , , , , 0.178, 0.134, 0.021, 5.981, 8.642
0.149, , 0.615, 0.620, 0.312, 0.172, , , , , 0.167, 0.137, 0.021, 208.284, 210.477
0.173, , 0.617, 0.777, 0.287, 0.151, , , , , 0.152, 0.119, 0.020, 48.107, 50.403
0.331, 0.748, 0.402, 0.908, 0.455, 0.199, , , , , 0.215, 0.184, 0.024, 0.347, 3.813
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.136, , 0.490, 0.653, 0.264, 0.151, , , , , 0.156, 0.121, 0.020, 29.657, 31.648
0.126, , 0.561, 0.642, 0.339, 0.183, , , , , 0.188, 0.140, 0.026, 7.036, 9.241
0.158, , 0.583, 0.661, 0.331, 0.189, , , , , 0.186, 0.148, 0.024, 180.282, 182.562
0.165, , 0.398, 0.578, 0.288, 0.151, , , , , 0.155, 0.118, 0.019, 48.228, 50.100
0.343, 0.680, 0.399, 0.854, 0.451, 0.198, , , , , 0.253, 0.190, 0.024, 0.250, 3.642
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.202, , 0.464, 1.757, 0.269, 0.152, , , , , 0.153, 0.154, 0.048, 18.305, 21.504
0.102, , 0.462, 0.645, 0.334, 0.176, , , , , 0.182, 0.139, 0.022, 7.161, 9.223
0.211, , 0.578, 0.612, 0.314, 0.167, , , , , 0.169, 0.138, 0.022, 200.340, 202.551
0.200, , 0.675, 1.078, 0.500, 0.158, , , , , 0.153, 0.118, 0.020, 47.359, 50.261
0.283, 0.643, 0.413, 0.847, 0.451, 0.198, , , , , 0.218, 0.188, 0.027, 0.955, 4.223
