Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.158, , 0.978, 0.690, 0.367, 0.177, 2.143, 0.485, 1.214, 8.303, , , , 20.254, 34.769
0.100, , 0.706, 0.738, 0.377, 0.185, 2.330, 0.542, 1.302, 8.856, , , , 89.168, 104.304
0.135, , 0.169, 1.853, 0.334, 0.164, 2.023, 0.493, 1.154, 7.674, , , , 1.616, 15.615
0.198, , 0.140, 0.965, 0.321, 0.176, 2.148, 0.496, 1.278, 7.776, , , , 1.380, 14.878
0.271, 0.744, 0.157, 0.739, 0.494, 0.170, 2.151, 0.537, 1.250, 9.841, , , , 2.142, 18.496
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.131, , 0.172, 0.900, 0.290, 0.153, 1.910, 0.545, 1.018, 7.114, , , , 25.659, 37.892
0.181, , 0.201, 0.993, 0.351, 0.178, 2.104, 0.497, 1.210, 8.124, , , , 19.826, 33.665
0.176, , 0.236, 1.314, 0.542, 0.289, 2.760, 0.523, 1.236, 8.420, , , , 88.612, 104.108
0.355, , 0.157, 0.663, 0.336, 0.232, 2.043, 0.487, 1.142, 8.057, , , , 1.515, 14.987
0.120, , 0.145, 0.642, 0.328, 0.176, 2.108, 0.537, 1.237, 7.515, , , , 1.229, 14.037
0.302, 0.852, 0.177, 1.001, 0.694, 0.163, 2.077, 0.521, 1.218, 9.702, , , , 1.372, 18.079
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.147, , 0.180, 0.680, 0.287, 0.161, 2.036, 0.460, 1.006, 7.273, , , , 17.831, 30.061
0.125, , 0.219, 0.703, 0.399, 0.187, 2.216, 0.516, 1.274, 8.142, , , , 21.487, 35.268
0.171, , 0.186, 0.706, 0.365, 0.182, 2.565, 0.522, 1.243, 8.674, , , , 89.206, 103.820
0.925, , 0.143, 1.760, 0.331, 0.164, 2.022, 0.479, 1.134, 8.052, , , , 0.627, 15.637
0.161, , 0.131, 0.661, 0.321, 0.176, 2.084, 0.486, 1.328, 7.612, , , , 0.609, 13.569
0.247, 0.822, 0.139, 0.701, 0.434, 0.162, 2.093, 0.578, 1.204, 9.770, , , , 1.613, 17.763
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.156, , 0.177, 1.109, 0.285, 0.158, 2.013, 0.469, 0.987, 7.019, , , , 18.025, 30.398
0.170, , 0.175, 1.153, 0.345, 0.182, 2.063, 0.496, 1.216, 8.078, , , , 19.561, 33.439
0.102, , 0.187, 0.735, 0.379, 0.189, 2.320, 0.548, 1.290, 8.692, , , , 88.565, 103.007
0.112, , 0.145, 0.954, 0.381, 0.172, 2.036, 0.478, 1.168, 7.775, , , , 1.526, 14.747
0.167, , 0.153, 0.674, 0.321, 0.175, 2.145, 0.515, 1.261, 7.583, , , , 1.470, 14.464
0.377, 0.936, 0.203, 1.061, 0.682, 0.166, 2.125, 0.528, 1.275, 9.793, , , , 2.291, 19.437
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.154, , 0.255, 1.351, 0.445, 0.269, 2.377, 0.492, 1.060, 7.068, , , , 18.606, 32.077
0.160, , 0.193, 1.152, 0.351, 0.179, 2.127, 0.534, 1.204, 8.009, , , , 21.492, 35.401
0.172, , 0.235, 0.978, 0.549, 0.307, 2.351, 0.524, 1.217, 8.481, , , , 88.411, 103.225
0.214, , 0.149, 0.667, 0.337, 0.168, 2.240, 0.475, 1.130, 7.766, , , , 0.721, 13.867
0.172, , 0.173, 1.001, 0.482, 0.282, 2.349, 0.484, 1.308, 7.585, , , , 0.592, 14.428
0.237, 0.839, 0.136, 0.692, 0.431, 0.160, 2.151, 0.525, 1.177, 9.845, , , , 3.117, 19.310
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10b.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.154, , 0.201, 0.813, 0.279, 0.197, 1.871, 0.460, 1.006, 7.004, , , , 19.549, 31.534
0.189, , 0.210, 0.897, 0.510, 0.285, 2.197, 0.485, 1.194, 7.930, , , , 5.720, 19.617
0.171, , 0.232, 0.946, 0.497, 0.286, 2.247, 0.495, 1.159, 7.975, , , , 173.520, 187.528
0.143, , 0.216, 0.700, 0.285, 0.148, 1.730, 0.432, 0.991, 6.963, , , , 54.830, 66.438
0.395, 0.891, 0.171, 0.920, 0.465, 0.295, 2.623, 0.643, 1.692, 12.354, , , , 1.112, 21.561
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.156, , 0.166, 1.682, 0.289, 0.156, 1.916, 0.522, 0.978, 6.930, , , , 30.599, 43.394
0.182, , 0.309, 1.005, 0.587, 0.306, 2.135, 0.481, 1.263, 7.912, , , , 5.755, 19.935
0.153, , 0.183, 0.708, 0.337, 0.177, 2.169, 0.503, 1.165, 8.296, , , , 186.838, 200.529
0.123, , 0.148, 0.926, 0.306, 0.158, 1.852, 0.442, 0.949, 6.944, , , , 47.866, 59.714
0.333, 0.980, 0.172, 0.933, 0.473, 0.202, 2.654, 0.643, 1.627, 12.335, , , , 1.373, 21.725
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
1.352, , 0.187, 0.678, 0.297, 0.206, 1.906, 0.473, 1.019, 7.325, , , , 18.537, 31.980
0.157, , 0.173, 1.190, 0.349, 0.178, 2.152, 0.496, 1.202, 8.209, , , , 6.613, 20.719
0.176, , 0.240, 0.977, 0.506, 0.283, 2.560, 0.515, 1.189, 8.177, , , , 181.074, 195.697
0.122, , 0.199, 1.922, 0.454, 0.251, 1.930, 0.437, 0.951, 7.156, , , , 47.471, 60.893
0.287, 1.028, 0.166, 0.892, 0.459, 0.203, 2.622, 0.642, 1.601, 12.002, , , , 0.349, 20.251
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.165, , 0.169, 1.302, 0.288, 0.164, 1.979, 0.474, 1.007, 7.032, , , , 17.903, 30.483
0.144, , 0.288, 0.709, 0.352, 0.182, 2.175, 0.516, 1.238, 8.114, , , , 5.315, 19.033
0.183, , 0.240, 1.336, 0.507, 0.296, 2.423, 0.523, 1.233, 8.375, , , , 175.962, 191.078
0.120, , 0.153, 0.702, 0.300, 0.156, 1.895, 0.446, 1.046, 7.016, , , , 47.397, 59.231
0.349, 1.332, 0.351, 1.349, 0.743, 0.333, 2.642, 0.642, 1.631, 12.136, , , , 0.371, 21.879
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.241, , 0.934, 1.535, 0.650, 0.435, 5.338, 1.487, 2.015, 12.967, , , , 18.249, 43.851
0.145, , 0.182, 0.704, 0.357, 0.181, 2.124, 0.509, 1.234, 8.141, , , , 6.433, 20.010
0.134, , 0.174, 0.669, 0.333, 0.183, 2.157, 0.523, 1.199, 8.294, , , , 187.578, 201.244
0.165, , 0.179, 0.874, 0.502, 0.251, 2.039, 0.446, 0.950, 6.907, , , , 47.500, 59.813
0.379, 1.394, 0.237, 1.407, 0.469, 0.194, 2.588, 0.683, 1.622, 12.070, , , , 0.568, 21.611
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.150, , 0.164, 0.661, 0.282, 0.154, 1.986, 0.474, 1.004, 7.030, , , , 18.614, 30.519
0.197, , 0.216, 0.937, 0.523, 0.301, 2.263, 0.495, 1.202, 8.053, , , , 5.268, 19.455
0.170, , 0.216, 0.947, 0.500, 0.282, 2.367, 0.506, 1.183, 8.135, , , , 179.444, 193.750
0.221, , 0.152, 0.683, 0.314, 0.162, 1.986, 0.451, 0.967, 7.061, , , , 47.395, 59.392
0.354, 1.093, 0.222, 1.238, 0.469, 0.201, 2.662, 0.668, 1.707, 12.193, , , , 0.469, 21.276
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.387, , 0.205, 2.274, 0.290, 0.159, 1.986, 0.470, 1.022, 7.230, , , , 18.506, 32.529
0.181, , 0.214, 1.039, 0.531, 0.302, 2.325, 0.502, 1.229, 8.018, , , , 5.732, 20.073
0.176, , 0.240, 0.969, 0.504, 0.286, 2.308, 0.513, 1.183, 8.224, , , , 162.478, 176.881
0.167, , 0.195, 1.062, 0.518, 0.248, 2.314, 0.445, 0.972, 6.972, , , , 47.803, 60.696
0.924, 1.192, 0.248, 1.161, 0.472, 0.205, 2.669, 0.656, 1.723, 12.329, , , , 1.391, 22.970
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.193, , 0.171, 0.903, 0.285, 0.158, 1.949, 0.458, 1.059, 6.786, , , , 18.382, 30.344
0.121, , 0.188, 0.719, 0.359, 0.195, 2.218, 0.522, 1.269, 8.452, , , , 6.683, 20.726
0.148, , 0.183, 0.931, 0.332, 0.173, 2.115, 0.506, 1.169, 8.061, , , , 173.512, 187.130
0.193, , 0.189, 0.871, 0.438, 0.247, 2.050, 0.435, 0.949, 6.854, , , , 46.857, 59.083
0.421, 0.977, 0.158, 0.955, 0.469, 0.199, 2.609, 0.685, 1.639, 12.264, , , , 0.423, 20.799
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.210, , 0.248, 0.955, 0.429, 0.251, 2.148, 0.463, 0.998, 7.267, , , , 30.099, 43.068
0.148, , 0.180, 0.704, 0.350, 0.186, 2.186, 0.509, 1.255, 8.294, , , , 5.559, 19.371
0.163, , 0.242, 0.984, 0.515, 0.342, 2.272, 0.510, 1.207, 8.245, , , , 180.821, 195.301
0.175, , 0.144, 0.611, 0.295, 0.157, 1.848, 0.442, 0.963, 6.906, , , , 46.704, 58.245
0.347, 1.467, 0.242, 1.247, 0.468, 0.195, 2.649, 0.656, 1.664, 12.265, , , , 1.255, 22.455
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.136, , 0.517, 1.610, 0.302, 0.160, 1.970, 0.462, 0.987, 7.073, , , , 18.216, 31.433
