Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
2.134, 0.049, 0.739, 1.617, 10.231, 0.034, 0.131, 1.999, 0.008, 0.035, 0.626, 0.008, 0.032, 3.809, 0.042, 0.183, 3.963, 0.040, 0.167, 3.396, 0.081, 97.108, 0.047
1.167, 0.022, 0.308, 0.659, 4.629, 0.015, 0.057, 2.053, 0.007, 0.034, 1.042, 0.008, 0.031, 0.848, 0.021, 0.030, 0.898, 0.008, 0.033, 0.821, 0.030, 1.489, 0.011
0.978, 0.021, 0.299, 0.657, 4.258, 0.014, 0.055, 1.998, 0.008, 0.034, 0.939, 0.008, 0.045, 0.874, 0.008, 0.030, 0.984, 0.009, 0.039, 0.890, 0.017, 1.580, 0.024
1.263, 0.030, 0.365, 0.809, 6.006, 0.018, 0.072, 2.178, 0.008, 0.034, 1.113, 0.008, 0.032, 0.929, 0.007, 0.029, 0.829, 0.007, 0.044, 0.657, 0.018, 1.544, 0.014
1.184, 0.025, 0.351, 0.792, 4.906, 0.017, 0.070, 1.994, 0.008, 0.035, 0.743, 0.008, 0.032, 0.896, 0.008, 0.071, 0.789, 0.021, 0.033, 0.870, 0.032, 1.511, 0.011
0.977, 0.022, 0.306, 0.661, 4.392, 0.015, 0.056, 2.392, 0.007, 0.033, 0.831, 0.008, 0.031, 0.725, 0.008, 0.030, 0.795, 0.006, 0.030, 0.703, 0.017, 1.560, 0.011
1.084, 0.022, 0.308, 0.658, 4.725, 0.014, 0.056, 2.146, 0.008, 0.035, 0.727, 0.009, 0.034, 0.667, 0.008, 0.031, 0.655, 0.008, 0.034, 0.684, 0.018, 1.561, 0.011
1.938, 0.040, 0.557, 1.254, 8.833, 0.028, 0.114, 2.246, 0.007, 0.034, 0.749, 0.008, 0.032, 0.897, 0.008, 0.031, 0.802, 0.008, 0.034, 0.731, 0.018, 2.402, 0.011
0.976, 0.021, 0.291, 0.625, 3.989, 0.016, 0.065, 2.108, 0.009, 0.039, 0.653, 0.008, 0.033, 0.620, 0.008, 0.031, 0.709, 0.008, 0.034, 0.743, 0.017, 1.496, 0.026
1.173, 0.025, 0.349, 0.766, 5.181, 0.018, 0.067, 2.352, 0.008, 0.034, 1.248, 0.008, 0.045, 1.009, 0.007, 0.041, 0.784, 0.006, 0.031, 0.690, 0.017, 1.501, 0.011
