Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
0.000, 0.041, 1.138, 0.166, 30.104, 1.768, 1.923, 0.264, 37.197, 19.075, 0.508, 1.137, 0.355, 0.956, 0.349, 0.887, 0.291, 0.902, 0.323, 0.918, 0.396, 0.926, 0.336, 1.812, 4.514, 1.707, 4.576, 1.141, 15.255, 0.329, 14.795, 0.302, 0.103, 0.301, 0.367, 0.386, 1.478, 0.368, 0.095, 0.314, 0.848, 0.357, 1.012, 0.302, 15.481, 0.455, 3.956, 0.353, 3.375, 0.306, 38.857, 0.395, 34.095, 0.316, 4.655, 0.321, 3.673, 0.295, 4.635, 0.310, 35.204, 0.013, 0.022, 189.078, 19.143, 0.033, 0.031, 0.007, 0.015, 1.402, 8.368, 0.048, 0.027, 0.007, 0.020, 2.849, 2.730, 0.017, 0.019, 0.006, 0.018, 0.591, 0.488, 0.014, 0.012, 0.005, 0.019, 18.088, 1.360, 0.028, 0.012, 0.011, 23.058, 1.350, 0.025
0.344, 0.000, 0.000, 0.000, 0.000, 0.007, 0.016, 0.643, 63.817, 0.045, 0.032, 0.008, 0.017, 0.360, 10.612, 0.049, 0.029, 0.007, 0.020, 2.465, 8.386, 0.040, 0.025, 0.008, 0.022, 1.749, 41.498, 0.049, 0.024, 0.006, 0.019, 1.967, 25.495, 0.050, 0.020, 0.008, 1.206, 0.442, 0.011
0.417, 0.000, 0.000, 0.000, 0.000, 0.007, 0.016, 0.654, 64.563, 0.045, 0.029, 0.007, 0.015, 0.324, 11.081, 0.050, 0.031, 0.007, 0.021, 2.571, 8.577, 0.042, 0.027, 0.008, 0.022, 1.812, 41.153, 0.048, 0.024, 0.006, 0.019, 2.044, 30.893, 0.048, 0.020, 0.009, 1.218, 0.445, 0.012
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/11a.sql...
1.087, 0.000, 0.000, 0.000, 0.336, 0.091, 1.831, 0.213, 0.000, 0.224, 0.087, 0.187, 0.062, 0.189, 0.071, 0.184, 0.060, 0.316, 0.215, 0.318, 1.309, 0.313, 0.090, 0.316, 0.219, 0.314, 0.205, 0.356, 1.120, 0.301, 6.341, 0.308, 5.470, 0.013, 0.021, 13.898, 5.334, 0.045, 0.036, 0.008, 0.018, 0.940, 0.238, 0.016, 0.021, 0.009, 0.021, 0.740, 0.553, 0.014, 0.018, 0.009, 0.022, 3.992, 2.658, 0.022, 0.023, 0.006, 0.019, 2.009, 0.620, 0.014, 0.012, 0.009, 0.806, 0.302, 0.010
1.293, 0.000, 0.000, 0.000, 0.000, 0.009, 0.018, 0.649, 6.161, 0.044, 0.040, 0.010, 0.020, 1.123, 0.230, 0.013, 0.025, 0.008, 0.022, 0.801, 0.764, 0.014, 0.019, 0.010, 0.023, 2.275, 2.892, 0.024, 0.025, 0.007, 0.021, 0.880, 0.843, 0.015, 0.012, 0.008, 0.799, 0.297, 0.011
1.403, 0.000, 0.000, 0.000, 0.000, 0.009, 0.018, 0.669, 6.318, 0.046, 0.037, 0.009, 0.020, 0.940, 0.225, 0.013, 0.020, 0.008, 0.021, 0.720, 0.457, 0.014, 0.019, 0.009, 0.023, 2.340, 2.962, 0.025, 0.023, 0.006, 0.019, 0.751, 0.632, 0.013, 0.011, 0.008, 0.775, 0.280, 0.010
1.382, 0.000, 0.000, 0.000, 0.000, 0.008, 0.017, 0.632, 6.493, 0.045, 0.036, 0.008, 0.017, 0.915, 0.231, 0.012, 0.020, 0.008, 0.020, 0.687, 0.517, 0.013, 0.018, 0.009, 0.022, 2.274, 3.116, 0.027, 0.024, 0.007, 0.020, 0.744, 0.694, 0.015, 0.013, 0.008, 0.820, 0.252, 0.012
1.427, 0.000, 0.000, 0.000, 0.000, 0.008, 0.019, 0.648, 6.256, 0.045, 0.036, 0.009, 0.018, 0.914, 0.213, 0.012, 0.021, 0.008, 0.021, 0.712, 0.457, 0.014, 0.018, 0.009, 0.022, 2.322, 2.997, 0.028, 0.024, 0.007, 0.020, 0.727, 0.661, 0.014, 0.012, 0.009, 0.900, 0.265, 0.011
1.347, 0.000, 0.000, 0.000, 0.000, 0.009, 0.019, 0.674, 6.339, 0.044, 0.037, 0.009, 0.018, 0.930, 0.226, 0.013, 0.021, 0.008, 0.022, 0.744, 0.587, 0.014, 0.020, 0.010, 0.023, 2.366, 2.298, 0.029, 0.024, 0.007, 0.021, 0.751, 0.624, 0.015, 0.012, 0.009, 0.855, 0.221, 0.012
1.491, 0.000, 0.000, 0.000, 0.000, 0.008, 0.018, 0.654, 6.228, 0.044, 0.039, 0.009, 0.019, 1.126, 0.206, 0.013, 0.021, 0.008, 0.021, 0.728, 0.464, 0.013, 0.019, 0.010, 0.023, 2.311, 2.820, 0.027, 0.026, 0.007, 0.022, 0.972, 0.592, 0.013, 0.012, 0.009, 0.812, 0.232, 0.011
