Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10b.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.295, 1.110, 0.161, 0.551, 0.200, 0.124, 1.507, 0.419, 0.759, 6.191, , , , 2.459, 13.776
0.322, 0.886, 0.111, 0.585, 0.240, 0.153, 1.762, 0.529, 0.917, 6.974, , , , 1.979, 14.458
0.274, 0.947, 0.160, 0.809, 0.469, 0.210, 1.735, 0.451, 1.013, 7.124, , , , 52.330, 65.522
0.260, 0.796, 0.132, 0.848, 0.367, 0.231, 1.643, 0.442, 0.865, 6.405, , , , 1.115, 13.104
0.266, 0.875, 0.154, 0.914, 0.466, 0.199, 2.550, 0.645, 1.627, 12.036, , , , 1.026, 20.758
0.338, 1.102, 0.120, 0.853, 0.351, 0.243, 2.411, 0.416, 0.747, 6.233, , , , 2.510, 15.324
0.266, 1.175, 0.100, 0.570, 0.251, 0.151, 1.792, 0.473, 0.894, 6.902, , , , 2.148, 14.722
0.271, 0.825, 0.124, 0.569, 0.281, 0.159, 1.814, 0.462, 1.098, 7.210, , , , 52.411, 65.224
0.282, 0.808, 0.132, 0.825, 0.374, 0.234, 1.675, 0.446, 0.856, 6.337, , , , 1.161, 13.130
0.321, 1.024, 0.215, 1.322, 0.530, 0.199, 2.579, 0.632, 1.636, 12.341, , , , 0.274, 21.073
0.321, 0.927, 0.136, 0.798, 0.362, 0.203, 2.690, 0.747, 0.964, 6.693, , , , 1.777, 15.618
