Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.254, 0.701, 0.379, 0.571, 0.309, 0.171, , , , , 0.175, 0.152, 0.022, 72.950, 75.684
0.260, 0.495, 0.648, 0.523, 0.191, 0.128, , , , , 0.125, 0.100, 0.022, 0.311, 2.803
0.214, 0.390, 0.316, 0.516, 0.224, 0.134, , , , , 0.130, 0.100, 0.018, 0.460, 2.502
0.242, 0.561, 0.523, 1.024, 0.397, 0.147, , , , , 0.159, 0.140, 0.017, 1.650, 4.860
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.324, 0.638, 0.350, 0.611, 0.200, 0.124, , , , , 0.119, 0.102, 0.021, 2.588, 5.077
0.258, 0.555, 0.343, 0.525, 0.199, 0.138, , , , , 0.134, 0.104, 0.019, 2.167, 4.442
0.320, 0.675, 0.364, 0.561, 0.355, 0.168, , , , , 0.162, 0.134, 0.020, 72.997, 75.756
0.255, 0.491, 0.336, 0.545, 0.195, 0.130, , , , , 0.123, 0.099, 0.019, 0.246, 2.439
0.209, 0.379, 0.320, 0.488, 0.217, 0.141, , , , , 0.129, 0.102, 0.017, 0.493, 2.495
0.242, 0.515, 0.321, 0.607, 0.389, 0.212, , , , , 0.162, 0.141, 0.017, 1.587, 4.193
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.283, 0.563, 0.375, 0.566, 0.201, 0.181, , , , , 0.120, 0.096, 0.022, 2.455, 4.862
0.306, 0.685, 0.340, 0.519, 0.192, 0.136, , , , , 0.133, 0.105, 0.018, 1.872, 4.306
0.315, 0.676, 0.356, 0.528, 0.287, 0.159, , , , , 0.162, 0.199, 0.021, 72.996, 75.699
0.261, 0.504, 0.635, 0.552, 0.193, 0.128, , , , , 0.124, 0.099, 0.020, 0.267, 2.783
0.212, 0.551, 0.300, 0.518, 0.208, 0.135, , , , , 0.129, 0.100, 0.017, 0.457, 2.627
0.193, 0.379, 0.331, 0.610, 0.382, 0.197, , , , , 0.161, 0.138, 0.017, 1.580, 3.988
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.357, 0.780, 0.540, 0.561, 0.201, 0.122, , , , , 0.121, 0.100, 0.021, 2.109, 4.912
0.248, 0.474, 0.334, 0.530, 0.196, 0.136, , , , , 0.135, 0.102, 0.018, 2.080, 4.253
0.275, 0.576, 0.374, 0.583, 0.289, 0.226, , , , , 0.163, 0.136, 0.021, 73.046, 75.689
0.209, 0.426, 0.365, 0.531, 0.231, 0.133, , , , , 0.124, 0.098, 0.022, 0.493, 2.632
0.192, 0.274, 0.306, 0.486, 0.211, 0.136, , , , , 0.132, 0.101, 0.017, 0.427, 2.282
0.222, 0.557, 0.532, 1.010, 0.772, 0.179, , , , , 0.167, 0.142, 0.017, 1.680, 5.278
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.297, 0.890, 0.534, 0.821, 0.332, 0.240, , , , , 0.210, 0.148, 0.021, 2.344, 5.837
0.213, 0.469, 0.326, 0.497, 0.189, 0.175, , , , , 0.143, 0.102, 0.020, 2.035, 4.169
0.273, 0.643, 0.383, 0.547, 0.292, 0.161, , , , , 0.166, 0.132, 0.020, 72.985, 75.602
0.246, 0.487, 0.350, 0.528, 0.190, 0.126, , , , , 0.129, 0.100, 0.020, 0.829, 3.005
0.217, 0.465, 0.342, 0.489, 0.216, 0.140, , , , , 0.129, 0.100, 0.018, 0.767, 2.883
0.206, 0.426, 0.342, 0.687, 0.389, 0.154, , , , , 0.166, 0.142, 0.018, 1.737, 4.267
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10b.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.377, 0.740, 0.550, 0.810, 0.335, 0.242, , , , , 0.215, 0.149, 0.020, 2.535, 5.973
0.283, 0.672, 0.555, 0.534, 0.203, 0.133, , , , , 0.131, 0.104, 0.020, 1.640, 4.275
0.244, 0.516, 0.355, 0.504, 0.249, 0.156, , , , , 0.150, 0.123, 0.018, 63.349, 65.664
0.244, 0.345, 0.367, 0.538, 0.192, 0.128, , , , , 0.177, 0.098, 0.020, 1.701, 3.810
0.262, 0.422, 0.478, 0.869, 0.430, 0.174, , , , , 0.192, 0.168, 0.023, 0.266, 3.284
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.363, 0.749, 0.424, 0.557, 0.197, 0.123, , , , , 0.121, 0.099, 0.021, 2.033, 4.687
0.246, 0.527, 0.326, 0.512, 0.194, 0.136, , , , , 0.205, 0.105, 0.019, 1.641, 3.911
0.420, 0.687, 0.506, 0.560, 0.256, 0.154, , , , , 0.154, 0.125, 0.020, 63.490, 66.372
0.272, 0.442, 0.331, 0.628, 0.195, 0.130, , , , , 0.125, 0.100, 0.020, 1.338, 3.581
0.236, 0.447, 0.352, 0.890, 0.437, 0.177, , , , , 0.204, 0.169, 0.019, 0.479, 3.410
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.314, 0.885, 0.533, 0.804, 0.342, 0.243, , , , , 0.220, 0.150, 0.022, 2.546, 6.059
0.282, 0.603, 0.326, 0.560, 0.194, 0.135, , , , , 0.132, 0.103, 0.019, 1.430, 3.784
0.274, 0.746, 0.459, 0.558, 0.261, 0.154, , , , , 0.155, 0.126, 0.019, 63.430, 66.182
0.377, 0.422, 0.350, 0.529, 0.192, 0.131, , , , , 0.127, 0.168, 0.019, 1.737, 4.052
0.223, 0.365, 0.384, 0.901, 0.433, 0.175, , , , , 0.196, 0.170, 0.021, 0.250, 3.118
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.298, 0.809, 0.544, 0.838, 0.345, 0.281, , , , , 0.246, 0.149, 0.023, 2.641, 6.174
0.285, 0.584, 0.327, 0.514, 0.193, 0.140, , , , , 0.129, 0.102, 0.019, 1.371, 3.664
0.281, 0.532, 0.369, 0.557, 0.260, 0.155, , , , , 0.154, 0.123, 0.019, 63.371, 65.821
0.281, 0.336, 0.346, 0.554, 0.199, 0.136, , , , , 0.129, 0.099, 0.020, 2.378, 4.478
0.288, 0.470, 0.361, 0.836, 0.441, 0.178, , , , , 0.205, 0.168, 0.020, 0.430, 3.397
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.359, 0.880, 0.535, 0.808, 0.338, 0.241, , , , , 0.219, 0.149, 0.023, 1.989, 5.541
0.307, 0.598, 0.332, 0.493, 0.192, 0.134, , , , , 0.130, 0.100, 0.018, 1.382, 3.686
0.239, 0.548, 0.367, 0.547, 0.259, 0.152, , , , , 0.148, 0.153, 0.019, 63.444, 65.876
0.248, 0.467, 0.352, 0.559, 0.198, 0.129, , , , , 0.126, 0.102, 0.022, 1.303, 3.506
0.280, 0.483, 0.359, 0.815, 0.437, 0.178, , , , , 0.201, 0.172, 0.020, 0.410, 3.355
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.292, 0.739, 0.599, 0.808, 0.340, 0.243, , , , , 0.221, 0.151, 0.021, 2.392, 5.806
0.299, 0.562, 0.336, 0.526, 0.202, 0.139, , , , , 0.134, 0.103, 0.019, 1.314, 3.634
0.244, 0.690, 0.374, 0.562, 0.273, 0.166, , , , , 0.167, 0.132, 0.020, 63.314, 65.942
0.269, 0.459, 0.335, 0.519, 0.193, 0.129, , , , , 0.126, 0.166, 0.022, 1.341, 3.559
0.263, 0.394, 0.370, 0.853, 0.502, 0.183, , , , , 0.211, 0.167, 0.019, 0.548, 3.510
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.357, 0.852, 0.506, 0.872, 0.342, 0.243, , , , , 0.217, 0.149, 0.021, 2.397, 5.956
0.286, 0.649, 0.328, 0.500, 0.190, 0.135, , , , , 0.129, 0.102, 0.019, 1.368, 3.706
0.280, 0.637, 0.530, 0.692, 0.257, 0.152, , , , , 0.150, 0.125, 0.020, 65.664, 68.507
0.245, 0.427, 0.356, 0.553, 0.203, 0.131, , , , , 0.131, 0.097, 0.019, 2.179, 4.341
0.276, 0.600, 0.387, 0.824, 0.440, 0.181, , , , , 0.200, 0.174, 0.019, 0.975, 4.076
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.292, 0.751, 0.530, 0.804, 0.336, 0.241, , , , , 0.284, 0.150, 0.020, 2.792, 6.200
0.383, 0.530, 0.340, 0.534, 0.195, 0.137, , , , , 0.133, 0.105, 0.018, 1.428, 3.803
0.464, 0.492, 0.350, 0.546, 0.261, 0.157, , , , , 0.154, 0.124, 0.018, 63.337, 65.903
0.260, 0.446, 0.335, 0.548, 0.197, 0.135, , , , , 0.126, 0.100, 0.019, 1.413, 3.579
0.244, 0.399, 0.401, 0.855, 0.439, 0.173, , , , , 0.198, 0.170, 0.019, 0.259, 3.157
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.351, 0.718, 0.339, 0.523, 0.192, 0.122, , , , , 0.121, 0.098, 0.021, 2.079, 4.564
0.301, 0.540, 0.320, 0.497, 0.191, 0.134, , , , , 0.130, 0.102, 0.018, 1.322, 3.555
0.282, 0.713, 0.562, 0.886, 0.445, 0.312, , , , , 0.281, 0.191, 0.020, 63.391, 67.083
0.884, 0.419, 0.363, 0.642, 0.199, 0.135, , , , , 0.129, 0.101, 0.020, 1.968, 4.860
0.239, 0.409, 0.443, 0.822, 0.433, 0.173, , , , , 0.199, 0.168, 0.019, 0.499, 3.404
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.309, 0.764, 0.555, 0.888, 0.342, 0.242, , , , , 0.222, 0.153, 0.023, 2.713, 6.211
0.229, 0.456, 0.348, 0.508, 0.196, 0.134, , , , , 0.131, 0.102, 0.020, 1.371, 3.495
0.275, 0.596, 0.346, 0.521, 0.259, 0.154, , , , , 0.218, 0.125, 0.020, 63.343, 65.857
0.257, 0.449, 0.339, 0.548, 0.196, 0.133, , , , , 0.126, 0.100, 0.023, 1.335, 3.506
0.280, 0.494, 0.357, 0.822, 0.442, 0.173, , , , , 0.262, 0.169, 0.019, 0.249, 3.267
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.328, 0.639, 0.346, 0.526, 0.193, 0.122, , , , , 0.118, 0.098, 0.023, 1.952, 4.345
0.239, 0.439, 0.320, 0.575, 0.196, 0.137, , , , , 0.134, 0.102, 0.019, 1.377, 3.538
0.287, 0.869, 0.366, 0.523, 0.259, 0.156, , , , , 0.149, 0.126, 0.021, 63.457, 66.213
0.908, 0.366, 0.383, 0.599, 0.208, 0.140, , , , , 0.127, 0.101, 0.021, 1.639, 4.492
0.280, 0.475, 0.427, 0.848, 0.438, 0.179, , , , , 0.202, 0.169, 0.020, 0.481, 3.519
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.295, 0.739, 0.538, 0.811, 0.340, 0.240, , , , , 0.217, 0.152, 0.024, 2.324, 5.680
0.273, 0.658, 0.420, 0.530, 0.196, 0.138, , , , , 0.139, 0.105, 0.019, 1.679, 4.157
0.391, 0.506, 0.365, 0.556, 0.260, 0.162, , , , , 0.152, 0.126, 0.019, 63.469, 66.006
0.209, 0.346, 0.349, 0.586, 0.195, 0.131, , , , , 0.126, 0.099, 0.023, 1.361, 3.425
0.362, 0.430, 0.378, 0.905, 0.438, 0.180, , , , , 0.210, 0.172, 0.020, 0.512, 3.607
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.454, 0.543, 0.353, 0.525, 0.193, 0.126, , , , , 0.122, 0.097, 0.022, 2.381, 4.816
0.292, 0.701, 0.509, 0.627, 0.196, 0.140, , , , , 0.132, 0.102, 0.019, 1.429, 4.147
0.300, 0.654, 0.349, 0.514, 0.256, 0.159, , , , , 0.150, 0.123, 0.021, 63.384, 65.910
0.265, 0.508, 0.451, 0.551, 0.217, 0.135, , , , , 0.141, 0.101, 0.019, 1.270, 3.658
0.285, 0.555, 0.389, 0.843, 0.458, 0.182, , , , , 0.204, 0.170, 0.020, 0.297, 3.403
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.274, 0.548, 0.357, 0.561, 0.195, 0.124, , , , , 0.123, 0.102, 0.021, 2.560, 4.865
0.264, 0.482, 0.359, 0.552, 0.240, 0.150, , , , , 0.132, 0.105, 0.020, 1.645, 3.949
0.305, 0.673, 0.355, 0.522, 0.257, 0.154, , , , , 0.153, 0.125, 0.020, 63.494, 66.058
